,S.No.,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
737,15160,Dhanusha,Nagrain Municipality,Nagarain,Nagrain
738,15265,Kaski,Machhapuchhre Rural Municipality,Machhapuchchhre,Machhapuchhre
739,15278,Bajura,Khaptad Chhededaha Rural Municipality,,Khaptad Chhededaha
740,15379,Darchula,Duhun Rural Municipality,Dunhu,Duhun
741,15405,Kalikot,Raskot Municipality,Raskot,Raskot
742,15510,Kalikot,Palata Rural Municipality,Palata,Palata
743,15550,Baitadi,Shivanath Rural Municipality,Shivanath,Shivanath
744,15552,Gulmi,Madane Rural Municipality,Madane,Madane
745,15623,Dhanusha,Dhanauji Rural Municipality,Dhanauji,Dhanauji
746,15649,Gulmi,Chhatrakot Rural Municipality,Chatrakot,Chhatrakot
747,15667,Sindhuli,Marin Rural Municipality,Marin,Marin
748,15852,Dhanusha,Janaknandini Rural Municipality,Janaknandani,Janaknandini
749,15901,Bajura,Swamikartik Khaapar Rural Municipality,Swami Kartik,Swamikartik Khaapar
750,15943,Siraha,Naraha Rural Municipality,Naraha,Naraha
751,15943,Siraha,Naraha Rural Municipality,Naraharinath,Naraha
752,15977,Jumla,Sinja Rural Municipality,Sinja,Sinja
753,16039,Panchthar,Phalgunanda Rural Municipality,Falgunanda,Phalgunanda
754,16085,Bajhang,Surma Rural Municipality,Surma,Surma
755,16168,Dadeldhura,Bhageshwor Rural Municipality,Bhageshwar,Bhageshwor
756,16190,Lamjung,Dudhpokhari Rural Municipality,Dudhpokhari,Dudhpokhari
757,16236,Dhanusha,Mithilabihari Municipality,Mithila Bihari,Mithilabihari
758,16261,Shyanja,Phedikhola Rural Municipality,Phedikhola,Phedikhola
759,16469,Parsa,Pakahamainpur Rural Municipality,Pakahamainpur,Pakahamainpur
760,16497,Mustang,Lomanthang Rural Municipality,Lomanthang,Lomanthang
761,16520,Tanahu,Bandipur Rural Municipality,Bandipur,Bandipur
762,16529,Sarlahi,Parsa Rural Municipality,Parsagadhi,Parsa
763,16578,Rupandehi,Sainamaina Municipality,Sainamaina,Sainamaina
764,16691,Salyan,Darma Rural Municipality,Darma,Darma
765,16708,Gulmi,Ishma Rural Municipality,Isma,Ishma
766,16719,Surkhet,Simta Rural Municipality,Simta,Simta
767,16845,Kailali,Ghodaghodi Municipality,Ghodaghodi,Ghodaghodi
768,16861,Dolpa,Shephoksundo Rural Municipality,Shey Phoksundo,Shephoksundo
769,16865,Tanahu,Shuklagandaki Municipality,Shuklagandaki,Shuklagandaki
770,16883,Dailekh,Mahabu Rural Municipality,Mahabu,Mahabu
771,16919,Palpa,Nisdi Rural Municipality,Nisdi,Nisdi
772,17007,Kaski,Rupa Rural Municipality,Rupani,Rupa
773,17102,Kalikot,Tilagufa Municipality,Tilagufa,Tilagufa
774,17136,Dailekh,Naumule Rural Municipality,Naumule,Naumule
775,17192,Surkhet,Panchapuri Municipality,Panchpuri,Panchapuri
776,17197,Salyan,Siddha Kumakh Rural Municipality,Kumakhmalika,Siddha Kumakh
777,17233,Kanchanpur,Krishnapur Municipality,Krishnapur,Krishnapur
778,17291,Panchthar,Tumwewa Rural Municipality,Tumbewa,Tumwewa
779,17431,Kalikot,Pachaljharana Rural Municipality,Pachaljharana,Pachaljharana
780,17678,Baitadi,Purchaudi Municipality,Purchaudi,Purchaudi
781,17704,Jumla,Hima Rural Municipality,Himali,Hima
782,17706,Mustang,Lo-Ghekar Damodarkunda Rural Municipality,,Lo-Ghekar Damodarkunda
783,17918,Doti,Purbichauki Rural Municipality,Purbichauki,Purbichauki
784,17930,Parsa,Kalikamai Rural Municipality,Kalikamai,Kalikamai
785,18023,Jajarkot,Shibalaya Rural Municipality,Shiwalaya,Shibalaya
786,18039,Kavrepalanchowk,Temal Rural Municipality,Temal,Temal
787,18075,Jhapa,Mechinagar,Mechinagar,Mechinagar
788,18100,Manang,Chame Rural Municipality,Chame,Chame
789,18213,Dhading,Siddhalek Rural Municipality,Siddhalek,Siddhalek
790,18217,Baitadi,Sigas Rural Municipality,Sigas,Sigas
791,18619,Baitadi,Pancheshwor Rural Municipality,Pancheshwar,Pancheshwor
792,18663,Kalikot,Narharinath Rural Municipality,Naraharinath,Narharinath
793,18824,Dolakha,Shailung Rural Municipality,Sailung,Shailung
794,18843,Saptari,Rajbiraj,Rajbiraj,Rajbiraj
795,18847,Bajura,Gaumul Rural Municipality,Gaumul,Gaumul
796,18894,Darchula,Apihimal Rural Municipality,Apihimal,Apihimal
797,18926,Sarlahi,Haripurwa Municipality,Haripurwa,Haripurwa
798,19081,Darchula,Marma Rural Municipality,Marma,Marma
799,19130,Jumla,Tila Rural Municipality,Tilagufa,Tila
800,19249,Nuwakot,Tarakeshwor Rural Municipality,Tarakeshwor,Tarakeshwor
801,19268,Dailekh,Bhagawatimai Rural Municipality,Bhagawatimai,Bhagawatimai
802,19511,Jumla,Guthichaur Rural Municipality,Guthichaur,Guthichaur
803,19512,Bardiya,Bansgadhi,Bansagadhi,Bansgadhi
804,19692,Manang,Narpa Bhumi Rural Municipality,Narphu,Narpa Bhumi
805,19817,Doti,Shikhar Municipality,Shikhar,Shikhar
806,19985,Kailali,Chure Rural Municipality,Chure,Chure
807,20208,Shankhuwasabha,Chepuwa,,Chepuwa
808,,,,Ratnanagar,nan
