,S.No.,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
131,11895,Saptari,Rajgadh Rural Municipality,,Rajgadh
132,11901,Morang,Belbari Municipality,Belbari,Belbari
133,11902,Solukhumbu,Thulung Dudhkoshi Rural Municipality,,Thulung Dudhkoshi
134,11903,Khotang,Jantedhunga Rural Municipality,Jantedhunga,Jantedhunga
135,11907,Makawanpur,Bagmati Rural Municipality,Bagmati,Bagmati
136,11907,Makawanpur,Bagmati Rural Municipality,Bagmati,Bagmati
137,11907,Makawanpur,Bagmati Rural Municipality,Bagmati,Bagmati
138,11911,Kailali,Tikapur Municipality,Tikapur,Tikapur
139,11912,Rolpa,Pariwartan Rural Municipality,,Pariwartan
140,11913,Arghakhanchi,Shitaganga Municipality,Sitganga,Shitaganga
141,11914,Kapilbastu,Shuddhodhan Rural Municipality,Suddhodhan,Shuddhodhan
142,11916,Bhaktapur,Madhyapurthimi Municipality,Madhyapur Thimi,Madhyapurthimi
143,11919,Saptari,Shambhunath Municipality,Shambhunath,Shambhunath
144,11920,Udayapur,Rautamai Rural Municipality,Rautamai,Rautamai
145,11921,Ilam,Suryodaya Municipality,Suryodaya,Suryodaya
146,11925,Rautahat,Garuda Municipality,Garuda,Garuda
147,11926,Sarlahi,Barhathwa Municipality,Barahathawa,Barhathwa
148,11927,Sunsari,Koshi Rural Municipality,Koshi,Koshi
149,11927,Sunsari,Koshi Rural Municipality,Koshi Tappu Wildlife Reserve,Koshi
150,11927,Sunsari,Koshi Rural Municipality,Koshi Tappu Wildlife Reserve,Koshi
151,11927,Sunsari,Koshi Rural Municipality,Koshi Tappu Wildlife Reserve,Koshi
152,11928,Taplejung,Maiwakhola Rural Municipality,Maiwakhola,Maiwakhola
153,11930,Baglung,Jaimini Municipality,Jaimuni,Jaimini
154,11931,Kathmandu,Kirtipur Municipality,Kirtipur,Kirtipur
155,11932,Chitawan,Kalika Municipality,Kalika,Kalika
156,11932,Chitawan,Kalika Municipality,Kalikamai,Kalika
157,11932,Chitawan,Kalika Municipality,Kalika,Kalika
158,11932,Chitawan,Kalika Municipality,Kalika,Kalika
159,11935,Morang,Biratnagar Metropolitan City,Biratnagar,Biratnagar
160,11936,Rupandehi,Butwal Submetropolitan City,Butwal,Butwal
161,11937,Bara,Baragadhi Rural Municipality,Baragadhi,Baragadhi
162,11938,Sarlahi,Bishnu Rural Municipality,Bishnupur,Bishnu
163,11938,Sarlahi,Bishnu Rural Municipality,Bishnupur,Bishnu
164,11940,Morang,Sundarharaicha Municipality,Sundarharaicha,Sundarharaicha
165,11942,Gulmi,Musikot Municipality,Musikot,Musikot
166,11942,Gulmi,Musikot Municipality,Musikot,Musikot
167,11943,Rupandehi,Omsatiya Rural Municipality,Omsatiya,Omsatiya
168,11944,Lalitpur,Mahalaxmi Municipality,Mahalaxmi,Mahalaxmi
169,11944,Lalitpur,Mahalaxmi Municipality,Mahalaxmi,Mahalaxmi
170,11949,Humla,Tajakot Rural Municipality,Tanjakot,Tajakot
171,11951,Sunsari,Dharan Submetropolitan City,Dharan,Dharan
172,11953,Taplejung,Sidingba Rural Municipality,Sidingba,Sidingba
173,11957,Kathmandu,Chandragiri Municipality,Chandragiri,Chandragiri
174,11958,Chitawan,Ratnanagar Municipality,Ratnanagar,Ratnanagar
175,11959,Rautahat,Ishnath Municipality,Ishanath,Ishnath
176,11960,Rautahat,Rajpur Municipality,Rajpur,Rajpur
177,11960,Rautahat,Rajpur Municipality,Rajpur,Rajpur
178,11961,Sarlahi,Malangwa Municipality,Malangawa,Malangwa
179,11964,Ilam,Chulachuli Rural Municipality,Chulachuli,Chulachuli
180,11965,Bajura,Budhiganga Municipality,Budhiganga,Budhiganga
181,11965,Bajura,Budhiganga Municipality,Budhiganga,Budhiganga
182,11966,Shyanja,Arjunchaupari Rural Municipality,Arjunchaupari,Arjunchaupari
183,11967,Ramechhap,Khandadevi Rural Municipality,Khadadevi,Khandadevi
184,11969,Mahottari,Manrashiswa Rural Municipality,Manra Siswa,Manrashiswa
185,11970,Dhanusha,Bideha Municipality,Bideha,Bideha
186,11973,Humla,Simkot Rural Municipality,Simkot,Simkot
187,11974,Dang,Tulsipur Submetropolitan City,Tulsipur,Tulsipur
188,11975,Manang,Manang Ngisyang Rural Municipality,Neshyang,Manang Ngisyang
189,11977,Dhading,Jwalamukhi Rural Municipality,Jwalamukhi,Jwalamukhi
190,11979,Bara,Kolhabi Municipality,Kolhabi,Kolhabi
191,11981,Dhanusha,Janakpur Submetropolitan City,Janakpur,Janakpur
192,11985,Bhojpur,Hatuwagadhi Rural Municipality,Hatuwagadhi,Hatuwagadhi
193,11986,Taplejung,Phungling Municipality,Phungling,Phungling
194,11988,Gorkha,Palungtar Municipality,Palungtar,Palungtar
195,11994,Jhapa,Gauradaha Municipality,Gauradhaha,Gauradaha
196,11996,Shankhuwasabha,Panchkhapan Municipality,Panchakhapan,Panchkhapan
197,11997,Shankhuwasabha,Chichila Rural Municipality,Chichila,Chichila
198,12000,Jhapa,Kachankawal Rural Municipality,Kachankawal,Kachankawal
199,12004,Humla,Sarkegad Rural Municipality,Sarkegad,Sarkegad
200,12006,Rolpa,Sunil Smriti Rural Municipality,,Sunil Smriti
201,12007,Tanahu,Rishing Rural Municipality,Rhishing,Rishing
202,12008,Bhaktapur,Changunarayan Municipality,Changunarayan,Changunarayan
203,12009,Sarlahi,Kaudena Rural Municipality,Kaudena,Kaudena
204,12011,Morang,Kanepokhari Rural Municipality,Kanepokhari,Kanepokhari
205,12012,Morang,Letang Municipality,Letang,Letang
206,12018,Dang,Gadhawa Rural Municipality,Gadhawa,Gadhawa
207,12021,Rolpa,Gangadev Rural Municipality,,Gangadev
208,12022,Rolpa,Rolpa Municipality,Rolpa,Rolpa
209,12023,Myagdi,Beni Municipality,Benighat Rorang,Beni
210,12024,Gorkha,Barpak Sulikot Rural Municipality,Sulikot,Barpak Sulikot
211,12026,Mahottari,Pipra Rural Municipality,Pipra,Pipra
212,12027,Siraha,Golbazar Municipality,Golbazar,Golbazar
213,12033,Bara,Parwanipur Rural Municipality,Parwanipur,Parwanipur
214,12037,Jhapa,Arjundhara Municipality,Arjundhara,Arjundhara
215,12038,Khotang,Khotehang Rural Municipality,Khotehang,Khotehang
216,12040,Mahottari,Bhagaha Municipality,Bhangaha,Bhagaha
217,12043,Jhapa,Buddhashanti Rural Municipality,Buddhashanti,Buddhashanti
218,12046,Taplejung,Pathibhara Yangwarak Rural Municipality,Yangwarak,Pathibhara Yangwarak
219,12046,Taplejung,Pathibhara Yangwarak Rural Municipality,Yangwarak,Pathibhara Yangwarak
220,12047,Bajhang,Jayaprithvi Municipality,JayaPrithivi,Jayaprithvi
221,12048,Parbat,Kushma Municipality,Kushma,Kushma
222,12050,Mahottari,Sonma Rural Municipality,Sonama,Sonma
223,12051,Mahottari,Ramgopalpur Municipality,Ramgopalpur,Ramgopalpur
224,12053,Morang,Katahari Rural Municipality,Katahariya,Katahari
225,12055,Banke,Khajura Rural Municipality,Khajura,Khajura
226,12056,Rolpa,Lungri Rural Municipality,Lungri,Lungri
227,12061,Saptari,Rajbiraj Municipality,Rajbiraj,Rajbiraj
228,12062,Sunsari,Gadhi Rural Municipality,Gadhimai,Gadhi
229,12065,Achhaam,Mellekh Rural Municipality,Mellekh,Mellekh
230,12066,Doti,Dipayalsilgadhi Municipality,Dipayal Silgadi,Dipayalsilgadhi
231,12068,Shyanja,Aandhikhola Rural Municipality,Aandhikhola,Aandhikhola
232,12070,Chitawan,Madi Municipality,Madi,Madi
233,12070,Chitawan,Madi Municipality,Madi,Madi
234,12070,Chitawan,Madi Municipality,Madi,Madi
235,12070,Chitawan,Madi Municipality,Madi,Madi
236,12071,Rasuwa,Uttargaya Rural Municipality,Uttargaya,Uttargaya
237,12075,Morang,Sunawarshi Municipality,Sunwarshi,Sunawarshi
238,12076,Jhapa,Kamal Rural Municipality,Kamal,Kamal
239,12076,Jhapa,Kamal Rural Municipality,Kamala,Kamal
240,12076,Jhapa,Kamal Rural Municipality,Kamalamai,Kamal
241,12076,Jhapa,Kamal Rural Municipality,Kamalbazar,Kamal
242,12077,Jhapa,Haldibari Rural Municipality,Haldibari,Haldibari
243,12079,Mahottari,Aurahi Municipality,Aurahi,Aurahi
244,12079,Mahottari,Aurahi Municipality,Aurahi,Aurahi
245,12081,Sunsari,Bhokraha Narsingha Rural Municipality,Bhokraha,Bhokraha Narsingha
246,12084,Udayapur,Belaka Municipality,Belaka,Belaka
247,12086,Baitadi,Dasharathchand Municipality,Dasharathchanda,Dasharathchand
248,12087,Rolpa,Runtigadhi Rural Municipality,Runtigadi,Runtigadhi
249,12088,Parbat,Jaljala Rural Municipality,Jaljala,Jaljala
250,12090,Sunsari,Barju Rural Municipality,Barju,Barju
251,12091,Udayapur,Chaudandigadhi Municipality,Chaudandigadhi,Chaudandigadhi
252,12093,Shankhuwasabha,Makalu Rural Municipality,Makalu,Makalu
253,12094,Pyuthan,Sarumarani Rural Municipality,Sarumarani,Sarumarani
254,12095,Kapilbastu,Kapilvastu Municipality,Kapilbastu,Kapilvastu
255,12097,Rasuwa,Gosaikunda Rural Municipality,Gosaikunda,Gosaikunda
256,12098,Kavrepalanchowk,Dhulikhel Municipality,Dhulikhel,Dhulikhel
257,12099,Sindhuli,Tinpatan Rural Municipality,Tinpatan,Tinpatan
258,12100,Okhaldhunga,Khijidemba Rural Municipality,Khijidemba,Khijidemba
