,VDC/Municipality,Localbody
362,Gokarneshwor Municipality,Gokarneshwor
363,,Taman Khola
364,,Balara
365,,Gauriganj
366,Nawarajpur Rural Municipality,Nawarajpur
367,,Tara Khola
368,Bagmati Municipality,Bagmati
369,Bagmati Rural Municipality,Bagmati
370,,Alital
371,,Panchadewal Binayak
372,,Illam
373,,Rubi Valley
374,,Rhishing
375,Ramechhap Municipality,Ramechhap
376,Barekot Rural Municipality,Barekot
377,Sinja Rural Municipality,Sinja
378,Bhimphedi Rural Municipality,Bhimphedi
379,Mahankal Rural Municipality,Mahankal
380,Bhimeshwor Municipality,Bhimeshwor
381,,Barahathawa
382,,Bhageshwar
383,Kamalamai Municipality,Kamalamai
384,Naubahini Rural Municipality,Naubahini
385,Ghodaghodi Municipality,Ghodaghodi
386,Chakraghatta Rural Municipality,Chakraghatta
387,Bardibas Municipality,Bardibas
388,Tinpatan Rural Municipality,Tinpatan
389,Sundarharaicha Municipality,Sundarharaicha
390,Siddhicharan Municipality,Siddhicharan
391,Butwal Submetropolitan City,Butwal
392,Chhathar Rural Municipality,Chhathar
393,Chhatharjorpati Rural Municipality,Chhathar
394,,Brindaban
395,Parsagadhi Municipality,Parsa
396,Parsa Rural Municipality,Parsa
397,Ghorahi Submetropolitan City,Ghorahi
398,Chandrakot Rural Municipality,Chandrakot
399,Gokulganga Rural Municipality,Gokulganga
400,Kalyanpur Municipality,Kalyanpur
401,Bhotekoshi Rural Municipality,Bhotekoshi
402,Arun Rural Municipality,Arun
403,,Fakphokthum
404,Guthichaur Rural Municipality,Guthichaur
405,Dhankaul Rural Municipality,Dhankaul
406,Pheta Rural Municipality,Pheta
407,Rampur Municipality,Rampur
408,,Shey Phoksundo
409,Parwanipur Rural Municipality,Parwanipur
410,Ramnagar Rural Municipality,Ramnagar
411,,Bardagoriya
412,,Chhathar Jorpati
413,,Dewahhi Gonahi
414,,Hariwan
415,Galkot Municipality,Galkot
416,Kaligandaki Rural Municipality,Kaligandaki
417,Gandaki Rural Municipality,Gandaki
418,Himali Rural Municipality,Himali
419,,Rainadevi Chhahara
420,Gaidahawa Rural Municipality,Gaidahawa
421,Makawanpurgadhi Rural Municipality,Makawanpurgadhi
422,,Bansagadhi
423,Lalbandi Municipality,Lalbandi
424,Lalbandi,Lalbandi
425,Chhatreshwori Rural Municipality,Chhatreshwori
426,Sharada Municipality,Sharada
427,,Meghang
428,Raksirang Rural Municipality,Raksirang
429,,Ainselukhark
430,Katahariya Municipality,Katahari
431,Katahari Rural Municipality,Katahari
432,Dharmadevi Municipality,Dharmadevi
433,Omsatiya Rural Municipality,Omsatiya
434,Devchuli Municipality,Devchuli
435,Kaudena Rural Municipality,Kaudena
436,Pakahamainpur Rural Municipality,Pakahamainpur
437,Himali Rural Municipality,Hima
438,Hima Rural Municipality,Hima
439,Dhakari Rural Municipality,Dhakari
440,,Falelung
441,Bideha Municipality,Bideha
442,,Kepilasagadhi
443,Tikapur Municipality,Tikapur
444,Thori Rural Municipality,Thori
445,Naugad Rural Municipality,Naugad
446,Lamahi Municipality,Lamahi
447,Gulmidarbar Rural Municipality,Gulmidarbar
448,,Painyu
449,Palungtar Municipality,Palungtar
450,Kanchanrup Municipality,Kanchan
451,Kanchan Rural Municipality,Kanchan
452,,Isma
453,Maijogmai Rural Municipality,Maijogmai
454,,Bithadchir
455,,Bhangaha
456,,Galchi
457,,Mugum Karmarong
458,Kamal Rural Municipality,Kamal
459,Kamalbazar Municipality,Kamal
460,Kamalasiddhidatri Rural Municipality,Kamal
461,Kamalamai Municipality,Kamal
462,,Gauradhaha
463,,Patahrishanishchare
