,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
424,Bajhang,Khaptadchhanna Rural Municipality,Khaptadchhanna,Khaptadchhanna
425,Kapilbastu,Shivaraj,Shivaraj,Shivaraj
426,Parbat,Mahashila Rural Municipality,Mahashila,Mahashila
427,Sarlahi,Haripur Municipality,Haripur,Haripur
428,Sarlahi,Haripur Municipality,Haripurwa,Haripur
429,Nawalparasi (Bardghat Susta West),Pratappur Rural Municipality,Pratappur,Pratappur
430,Achhaam,Panchadewalbinayak Municipality,,Panchadewalbinayak
431,Nawalparasi (Bardghat Susta East),Bulingtar Rural Municipality,Bulingtar,Bulingtar
432,Shyanja,Chapakot Municipality,Chapakot,Chapakot
433,Sarlahi,Lalbandi,Lalbandi,Lalbandi
434,Sunsari,Ramdhuni Municipality,Ramdhuni,Ramdhuni
435,Dhankuta,Sahidbhumi Rural Municipality,,Sahidbhumi
436,Doti,Sayal Rural Municipality,Sayal,Sayal
437,Bara,Devtal Rural Municipality,Devtal,Devtal
438,Rautahat,Dewahigonahi Municipality,,Dewahigonahi
439,Salyan,Bangadkupinde Municipality,,Bangadkupinde
440,Rupandehi,Lumbinisanskritik Municipality,,Lumbinisanskritik
441,Sarlahi,Godaita Municipality,Godaita,Godaita
442,Mahottari,Balwa Municipality,Balwa,Balwa
443,Kanchanpur,Punarbas Municipality,Punarbas,Punarbas
444,Nawalparasi (Bardghat Susta East),Kawasoti Municipality,Kawasoti,Kawasoti
445,Parbat,Modi Rural Municipality,Modi,Modi
446,Kavrepalanchowk,Mandandeupur Municipality,Mandandeupur,Mandandeupur
447,Gulmi,Gulmidarbar Rural Municipality,Gulmidarbar,Gulmidarbar
448,Kathmandu,Gokarneshwor Municipality,Gokarneshwor,Gokarneshwor
449,Sindhupalchowk,Lisankhupakhar Rural Municipality,,Lisankhupakhar
450,Sindhuli,Phikkal Rural Municipality,Phikkal,Phikkal
451,Dang,Lamahi Municipality,Lamahi,Lamahi
452,Lamjung,Madhyanepal Municipality,,Madhyanepal
453,Lamjung,Rainas Municipality,Rainas,Rainas
454,Baglung,Tamankhola Rural Municipality,,Tamankhola
455,Bajhang,Chhabispathivera Rural Municipality,,Chhabispathivera
456,Bardiya,Badhaiyatal Rural Municipality,Badhaiyatal,Badhaiyatal
457,Shyanja,Putalibazar Municipality,Putalibazar,Putalibazar
458,Kaski,Annapurna Rural Municipality,Annapurna,Annapurna
459,Kaski,Annapurna Rural Municipality,Annapurna,Annapurna
460,Ramechhap,Sunapati Rural Municipality,Sunapati,Sunapati
461,Ilam,Rong Rural Municipality,Rong,Rong
462,Sindhupalchowk,Helambu Rural Municipality,Helambu,Helambu
463,Siraha,Bhagwanpur Rural Municipality,,Bhagwanpur
464,Kapilbastu,Krishnanagar Municipality,Krishnanagar,Krishnanagar
465,Parsa,Thori Rural Municipality,Thori,Thori
466,Dhanusha,Shahidnagar Municipality,,Shahidnagar
467,Palpa,Purbakhola Rural Municipality,Purbakhola,Purbakhola
468,Bara,Pachrauta Municipality,,Pachrauta
469,Darchula,Naugad Rural Municipality,Naugad,Naugad
470,Rukum West,Banphikot Rural Municipality,,Banphikot
471,Tanahu,Bhanu Municipality,Bhanu,Bhanu
472,Gorkha,Bhimsenthapa Rural Municipality,,Bhimsenthapa
473,Parsa,Jagarnathpur Rural Municipality,Jagarnathpur,Jagarnathpur
474,Lamjung,Kwholasothar Rural Municipality,Kwholasothar,Kwholasothar
475,Lamjung,Dordi Rural Municipality,Dordi,Dordi
476,Mahottari,Matihani Municipality,Matihani,Matihani
477,Rupandehi,Tilottama Municipality,,Tilottama
478,Sarlahi,Kawilasi Municipality,,Kawilasi
479,Jhapa,Gaurigunj Rural Municipality,,Gaurigunj
480,Bhojpur,Aamchowk Rural Municipality,Aamchowk,Aamchowk
481,Parsa,Dhobini Rural Municipality,Dhobini,Dhobini
482,Dhankuta,Chhatharjorpati Rural Municipality,,Chhatharjorpati
483,Achhaam,Chaurpati Rural Municipality,Chaurpati,Chaurpati
484,Salyan,Kalimati Rural Municipality,Kalimati,Kalimati
485,Baglung,Nisikhola Rural Municipality,Nisikhola,Nisikhola
486,Shyanja,Waling Municipality,Waling,Waling
487,Dhading,Rubivalley Rural Municipality,,Rubivalley
488,Udayapur,Udayapurgadhi Rural Municipality,Udayapurgadhi,Udayapurgadhi
489,Sindhupalchowk,Indrawati Rural Municipality,Indrawati,Indrawati
490,Morang,Jahada Rural Municipality,Jahada,Jahada
491,Doti,Jorayal Rural Municipality,Jorayal,Jorayal
492,Sindhuli,Ghyanglekh Rural Municipality,,Ghyanglekh
493,Parsa,Paterwasugauli Rural Municipality,Paterwasugauli,Paterwasugauli
494,Achhaam,Turmakhad Rural Municipality,Turmakhad,Turmakhad
495,Nawalparasi (Bardghat Susta East),Baudikali Rural Municipality,,Baudikali
496,Khotang,Diprung Chuichumma Rural Municipality,,Diprung Chuichumma
497,Kavrepalanchowk,Panauti Municipality,Panauti,Panauti
498,Rukum East,Sisne Rural Municipality,Sisne,Sisne
499,Achhaam,Mangalsen Municipality,Mangalsen,Mangalsen
500,Achhaam,Sanfebagar Municipality,,Sanfebagar
501,Rupandehi,Rohini Rural Municipality,Rohini,Rohini
502,Achhaam,Kamalbazar Municipality,Kamalbazar,Kamalbazar
503,Achhaam,Bannigadhijaygadh Rural Municipality,,Bannigadhijaygadh
504,Achhaam,Dhakari Rural Municipality,Dhakari,Dhakari
505,Sindhupalchowk,Bhotekoshi Rural Municipality,Bhotekoshi,Bhotekoshi
506,Rasuwa,Kalika Rural Municipality,Kalika,Kalika
507,Rasuwa,Kalika Rural Municipality,Kalikamai,Kalika
508,Rasuwa,Kalika Rural Municipality,Kalika,Kalika
509,Rasuwa,Kalika Rural Municipality,Kalika,Kalika
510,Parsa,Jirabhawani Rural Municipality,Jirabhawani,Jirabhawani
511,Kanchanpur,Beldandi Rural Municipality,Beldandi,Beldandi
512,Gorkha,Dharche Rural Municipality,Dharche,Dharche
513,Bara,Aadarshakotwal Rural Municipality,,Aadarshakotwal
514,Salyan,Sharada Municipality,Sharada,Sharada
515,Dolakha,Bhimeshwor Municipality,Bhimeshwor,Bhimeshwor
516,Parsa,Bindabasini Rural Municipality,Bindabasini,Bindabasini
517,Saptari,Mahadeva Rural Municipality,Mahadeva,Mahadeva
518,Rukum West,Triveni Rural Municipality,,Triveni
519,Pyuthan,Naubahini Rural Municipality,Naubahini,Naubahini
520,Pyuthan,Swargadwari Municipality,,Swargadwari
521,Arghakhanchi,Sandhikharka Municipality,Sandhikharka,Sandhikharka
522,Parbat,Phalewas Municipality,,Phalewas
523,Bardiya,Geruwa Rural Municipality,Geruwa,Geruwa
524,Palpa,Tinau Rural Municipality,Tinau,Tinau
525,Makawanpur,Indrasarowar Rural Municipality,Indrasarowar,Indrasarowar
526,Dhanusha,Kamalasiddhidatri Rural Municipality,,Kamalasiddhidatri
527,Bajura,Triveni Municipality,,Triveni
528,Dang,Bangalachuli Rural Municipality,,Bangalachuli
529,Lamjung,Besishahar Municipality,Besishahar,Besishahar
530,Rukum West,Sanibheri Rural Municipality,,Sanibheri
531,Gulmi,Satyawati Rural Municipality,Satyawati,Satyawati
532,Gulmi,Malika Rural Municipality,Malika,Malika
533,Gulmi,Malika Rural Municipality,Malika,Malika
534,Gulmi,Malika Rural Municipality,Malikaarjun,Malika
535,Dailekh,Narayan Municipality,Madhav Narayan,Narayan
536,Dailekh,Narayan Municipality,Narayan,Narayan
537,Rukum East,Bhume Rural Municipality,Bhumekasthan,Bhume
538,Rukum East,Bhume Rural Municipality,Bhume,Bhume
539,Nuwakot,Belkotgadhi Municipality,Belkotgadhi,Belkotgadhi
540,Salyan,Kumakh Rural Municipality,Kumakhmalika,Kumakh
541,Banke,Narainapur Rural Municipality,Narainapur,Narainapur
542,Dang,Babai Rural Municipality,Babai,Babai
543,Kapilbastu,Yasodhara Rural Municipality,,Yasodhara
544,Mugu,Mugumkarmarong Rural Municipality,,Mugumkarmarong
545,Gorkha,Siranchowk Rural Municipality,,Siranchowk
546,Nuwakot,Kispang Rural Municipality,Kispang,Kispang
547,Parsa,Chhipaharmai Rural Municipality,Chhipaharmai,Chhipaharmai
548,Siraha,Sakhuwanankarkatti Rural Municipality,Sakhuwanankarkatti,Sakhuwanankarkatti
549,Bajhang,Durgathali Rural Municipality,Durgathali,Durgathali
550,Bajhang,Thalara Rural Municipality,Thalara,Thalara
551,Chitawan,Ichchhakamana Rural Municipality,,Ichchhakamana
552,Jhapa,Jhapa Rural Municipality,Jhapa,Jhapa
553,Dang,Dangisharan Rural Municipality,Dangisharan,Dangisharan
554,Siraha,Mirchaiya Municipality,Mirchaiya,Mirchaiya
555,Panchthar,Kummayak Rural Municipality,Kummayak,Kummayak
556,Kailali,Gauriganga Municipality,Gauriganga,Gauriganga
557,Kailali,Joshipur Rural Municipality,Joshipur,Joshipur
558,Kailali,Kailari Rural Municipality,Kailari,Kailari
559,Kailali,Mohanyal Rural Municipality,Mohanyal,Mohanyal
560,Kailali,Bardgoriya Rural Municipality,,Bardgoriya
561,Kailali,Dhangadhi Submetropolitan City,Dhangadhimai,Dhangadhi
562,Kailali,Dhangadhi Submetropolitan City,Dhangadhi,Dhangadhi
563,Kailali,Bhajani Municipality,Bhajani,Bhajani
564,Kailali,Lamkichuha Municipality,Lamkichuha,Lamkichuha
565,Rupandehi,Siddarthanagar Municipality,,Siddarthanagar
566,Sarlahi,Ramnagar Rural Municipality,Ramnagar,Ramnagar
567,Dang,Rapti Rural Municipality,Rapti,Rapti
568,Dang,Rapti Rural Municipality,Rapti,Rapti
569,Dang,Rapti Rural Municipality,Rapti Sonari,Rapti
570,Nawalparasi (Bardghat Susta West),Susta Rural Municipality,Susta,Susta
571,Shyanja,Kaligandaki Rural Municipality,Kaligandaki,Kaligandaki
572,Parbat,Bihadi Rural Municipality,Bihadi,Bihadi
573,Nuwakot,Myagong Rural Municipality,,Myagong
574,Sindhuli,Hariharpurgadhi Rural Municipality,Hariharpurgadhi,Hariharpurgadhi
575,Sindhuli,Kamalamai Municipality,Kamalamai,Kamalamai
576,Shankhuwasabha,Silichong Rural Municipality,Silichong,Silichong
577,Mustang,Waragung Muktikshetra Rural Municipality,,Waragung Muktikshetra
578,Dolakha,Kalinchowk Rural Municipality,,Kalinchowk
579,Dailekh,Thantikandh Rural Municipality,Thantikandh,Thantikandh
580,Dolakha,Bigu Rural Municipality,Bigu,Bigu
581,Dadeldhura,Parshuram Municipality,,Parshuram
582,Bardiya,Bansgadhi Municipality,,Bansgadhi
583,Darchula,Malikarjun Rural Municipality,,Malikarjun
584,Dang,Shantinagar Rural Municipality,Shantinagar,Shantinagar
585,Pyuthan,Mandavi Rural Municipality,Mandavi,Mandavi
586,Lamjung,Sundarbazar Municipality,Sundarbazar,Sundarbazar
587,Gorkha,Aarughat Rural Municipality,Aarughat,Aarughat
588,Bara,Karaiyamai Rural Municipality,Karaiyamai,Karaiyamai
589,Achhaam,Ramaroshan Rural Municipality,Ramaroshan,Ramaroshan
590,Palpa,Ribdikot Rural Municipality,Ribdikot,Ribdikot
591,Gorkha,Shahidlakhan Rural Municipality,,Shahidlakhan
592,Rolpa,Thabang Rural Municipality,,Thabang
593,Udayapur,Limchungbung Rural Municipality,,Limchungbung
594,Darchula,Shailyashikhar Municipality,Shailyashikhar,Shailyashikhar
595,Kalikot,Shubha Kalika Rural Municipality,,Shubha Kalika
596,Dolpa,Thulibheri Municipality,,Thulibheri
597,Kavrepalanchowk,Khanikhola Rural Municipality,Khanikhola,Khanikhola
598,Sarlahi,Ishworpur Municipality,Ishworpur,Ishworpur
599,Taplejung,Phaktanglung Rural Municipality,Phaktanglung,Phaktanglung
600,Parsa,Sakhuwaprasauni Rural Municipality,,Sakhuwaprasauni
601,Ramechhap,Doramba Rural Municipality,Doramba,Doramba
602,Dailekh,Bhairabi Rural Municipality,Bhairabi,Bhairabi
603,Dailekh,Chamundabindrasaini Municipality,,Chamundabindrasaini
604,Kanchanpur,Belauri Municipality,Belauri,Belauri
605,Rasuwa,Aamachhodingmo Rural Municipality,,Aamachhodingmo
606,Surkhet,Chingad Rural Municipality,Chingad,Chingad
607,Pyuthan,Jhimruk Rural Municipality,Jhimruk,Jhimruk
608,Dolakha,Gaurishankar Rural Municipality,Gaurishankar,Gaurishankar
609,Ilam,Deumai Municipality,Deumai,Deumai
610,Rupandehi,Sammarimai Rural Municipality,Sammarimai,Sammarimai
611,Sindhupalchowk,Melamchi Municipality,Melamchi,Melamchi
612,Nuwakot,Kakani Rural Municipality,Kakani,Kakani
613,Shyanja,Harinas Rural Municipality,Harinas,Harinas
614,Panchthar,Hilihang Rural Municipality,Hilihang,Hilihang
615,Arghakhanchi,Chhatradev Rural Municipality,Chhatradev,Chhatradev
616,Gorkha,Gorkha Municipality,Gorkha,Gorkha
617,Surkhet,Bheriganga Municipality,Bheriganga,Bheriganga
618,Dailekh,Dullu Municipality,Dullu,Dullu
619,Terhathum,Menchhayayem Rural Municipality,,Menchhayayem
620,Parbat,Paiyun Rural Municipality,,Paiyun
621,Dhading,Khaniyabas Rural Municipality,Khaniyabash,Khaniyabas
622,Dhading,Netrawati Dabajon Rural Municipality,,Netrawati Dabajon
623,Siraha,Bariyapatti Rural Municipality,,Bariyapatti
624,Surkhet,Gurbhakot Municipality,Gurbhakot,Gurbhakot
625,Nawalparasi (Bardghat Susta West),Sarawal Rural Municipality,Sarawal,Sarawal
626,Makawanpur,Thaha Municipality,Thaha,Thaha
627,Taplejung,Mikwakhola Rural Municipality,Mikwakhola,Mikwakhola
628,Nawalparasi (Bardghat Susta West),Sunwal Municipality,Sunwal,Sunwal
629,Nawalparasi (Bardghat Susta East),Hupsekot Rural Municipality,Hupsekot,Hupsekot
630,Gulmi,Ruru Rural Municipality,Ruru,Ruru
631,Rupandehi,Kanchan Rural Municipality,Kanchanrup,Kanchan
632,Rupandehi,Kanchan Rural Municipality,Kanchan,Kanchan
633,Darchula,Vyans Rural Municipality,,Vyans
634,Nuwakot,Shivapuri Rural Municipality,Shivapuri,Shivapuri
635,Nuwakot,Shivapuri Rural Municipality,Shivapuri Watershed and Wildlife Reserve,Shivapuri
636,Siraha,Karjanha Municipality,Karjanha,Karjanha
637,Nuwakot,Tadi Rural Municipality,Tadi,Tadi
638,Bhojpur,Salpasilichho Rural Municipality,Salpasilichho,Salpasilichho
639,Rukum West,Aathbiskot Municipality,Aathbiskot,Aathbiskot
640,Palpa,Rambha Rural Municipality,Rambha,Rambha
641,Nuwakot,Suryagadhi Rural Municipality,Suryagadhi,Suryagadhi
642,Ilam,Sandakpur Rural Municipality,Sandakpur,Sandakpur
643,Kanchanpur,Bheemdatta Municipality,,Bheemdatta
644,Bajhang,Bitthadchir Rural Municipality,,Bitthadchir
645,Dadeldhura,Aalital Rural Municipality,,Aalital
646,Humla,Chankheli Rural Municipality,Chankheli,Chankheli
647,Palpa,Mathagadhi Rural Municipality,Mathagadhi,Mathagadhi
648,Dhading,Dhunibeshi Municipality,,Dhunibeshi
649,Solukhumbu,Likhupike Rural Municipality,Likhupike,Likhupike
650,Lalitpur,Konjyosom Rural Municipality,Konjyosom,Konjyosom
651,Dhading,Galchhi Rural Municipality,,Galchhi
652,Jumla,Patarasi Rural Municipality,,Patarasi
653,Dolakha,Melung Rural Municipality,Melung,Melung
654,Nuwakot,Panchakanya Rural Municipality,Panchakanya,Panchakanya
655,Jhapa,Bahradashi Rural Municipality,,Bahradashi
656,Bajura,Himali Rural Municipality,Himali,Himali
657,Ilam,Mai Municipality,Maiwakhola,Mai
658,Ilam,Mai Municipality,Mai,Mai
659,Ilam,Mai Municipality,Maijogmai,Mai
660,Humla,Kharpunath Rural Municipality,Kharpunath,Kharpunath
661,Mugu,Chhayanathrara Municipality,,Chhayanathrara
662,Tanahu,Devghat Rural Municipality,Devghat,Devghat
663,Gorkha,Gandaki Rural Municipality,Gandaki,Gandaki
664,Dadeldhura,Navadurga Rural Municipality,,Navadurga
665,Kavrepalanchowk,Mahabharat Rural Municipality,Mahabharat,Mahabharat
666,Achhaam,Hattikot,,Hattikot
667,Jajarkot,Bheri Municipality,Sani Bheri,Bheri
668,Jajarkot,Bheri Municipality,Bheriganga,Bheri
669,Jajarkot,Bheri Municipality,Bheri,Bheri
670,Jajarkot,Bheri Municipality,Thuli Bheri,Bheri
671,Arghakhanchi,Panini Rural Municipality,Panini,Panini
672,Rolpa,Sunchhahari Rural Municipality,Sunchhahari,Sunchhahari
673,Dadeldhura,Amargadhi Municipality,Amargadhi,Amargadhi
674,Dadeldhura,Ajayameru Rural Municipality,,Ajayameru
675,Sunsari,Inaruwa Municipality,Inaruwa,Inaruwa
676,Humla,Adanchuli Rural Municipality,Adanchuli,Adanchuli
677,Myagdi,Mangala Rural Municipality,Mangala,Mangala
678,Bajhang,Kedarasyu Rural Municipality,,Kedarasyu
679,Dailekh,Aathabis Municipality,Aathabis,Aathabis
680,Dadeldhura,Ganyapadhura Rural Municipality,,Ganyapadhura
681,Jajarkot,Nalgaad Municipality,,Nalgaad
682,Bajhang,Bungal Municipality,Bungal,Bungal
683,Rupandehi,Marchawari Rural Municipality,Marchawari,Marchawari
684,Mustang,Thasang Rural Municipality,Thasang,Thasang
685,Kathmandu,Kathmandu,Kathmandu,Kathmandu
686,Dailekh,Dungeshwor Rural Municipality,Dungeshwor,Dungeshwor
687,Jajarkot,Chhedagad Municipality,Chhedagad,Chhedagad
688,Dhading,Tripurasundari Rural Municipality,Tripurasundari,Tripurasundari
689,Dhading,Tripurasundari Rural Municipality,Tripurasundari,Tripurasundari
690,Terhathum,Myanglung Municipality,Myanglung,Myanglung
691,Surkhet,Birendranagar Municipality,Birendranagar,Birendranagar
692,Dailekh,Gurans Rural Municipality,Gurans,Gurans
693,Jajarkot,Kushe Rural Municipality,,Kushe
694,Ilam,Phakphokthum Rural Municipality,,Phakphokthum
695,Jajarkot,Barekot Rural Municipality,Barekot,Barekot
696,Panchthar,Yangwarak Rural Municipality,Yangwarak,Yangwarak
697,Panchthar,Yangwarak Rural Municipality,Yangwarak,Yangwarak
698,Doti,Aadarsha Rural Municipality,,Aadarsha
699,Kalikot,Khandachakra Municipality,Khandachakra,Khandachakra
700,Dhading,Thakre Rural Municipality,Thakre,Thakre
701,Okhaldhunga,Manebhanjyang Rural Municipality,Manebhanjyang,Manebhanjyang
702,Dolpa,Jagdulla Rural Municipality,,Jagdulla
703,Dhading,Gajuri Rural Municipality,Gajuri,Gajuri
704,Lamjung,Marsyangdi Rural Municipality,Marsyangdi,Marsyangdi
705,Mugu,Khatyad Rural Municipality,Khatyad,Khatyad
706,Bajura,Jagannath Rural Municipality,,Jagannath
707,Surkhet,Barahatal Rural Municipality,,Barahatal
708,Surkhet,Lekbeshi Municipality,Lekbeshi,Lekbeshi
709,Kanchanpur,Shuklaphanta Municipality,Shuklaphanta,Shuklaphanta
710,Kanchanpur,Shuklaphanta Municipality,Shuklaphanta National Park,Shuklaphanta
711,Nuwakot,Dupcheshwor Rural Municipality,,Dupcheshwor
712,Gorkha,Chumanuwri Rural Municipality,,Chumanuwri
713,Sarlahi,Chandranagar Rural Municipality,Chandranagar,Chandranagar
714,Gulmi,Chandrakot Rural Municipality,Chandrakot,Chandrakot
715,Manang,Nasong Rural Municipality,,Nasong
716,Morang,Kerabari Rural Municipality,Kerabari,Kerabari
717,Makawanpur,Raksirang Rural Municipality,Raksirang,Raksirang
718,Rupandehi,Siyari Rural Municipality,Siyari,Siyari
719,Mustang,LETE,,LETE
720,Dhankuta,Sangurigadhi Rural Municipality,Sangurigadhi,Sangurigadhi
721,Salyan,Kapurkot Rural Municipality,Kapurkot,Kapurkot
722,Kanchanpur,Mahakali Municipality,Mahakali,Mahakali
723,Kanchanpur,Mahakali Municipality,Mahakali,Mahakali
724,Khotang,Aiselukharka Rural Municipality,,Aiselukharka
725,Ramechhap,Likhu Tamakoshi Rural Municipality,,Likhu Tamakoshi
726,Dolpa,Dolpobuddha Rural Municipality,,Dolpobuddha
727,Dolakha,Tamakoshi Rural Municipality,Tamakoshi,Tamakoshi
728,Dhanusha,Bateshwor Rural Municipality,Bateshwor,Bateshwor
729,Kanchanpur,Bedkot Municipality,Bedkot,Bedkot
730,Rautahat,Maulapur Municipality,Maulapur,Maulapur
731,Okhaldhunga,Champadevi Rural Municipality,Champadevi,Champadevi
732,Nawalparasi (Bardghat Susta East),Devchuli Municipality,Devchuli,Devchuli
733,Baitadi,Patan Municipality,Patan,Patan
734,Kathmandu,Shankharapur Municipality,Shankharapur,Shankharapur
735,Okhaldhunga,Siddhicharan Municipality,Siddhicharan,Siddhicharan
736,Humla,Namkha Rural Municipality,Namkha,Namkha
737,Dhanusha,Nagrain Municipality,,Nagrain
738,Kaski,Machhapuchhre Rural Municipality,,Machhapuchhre
739,Bajura,Khaptad Chhededaha Rural Municipality,,Khaptad Chhededaha
740,Darchula,Duhun Rural Municipality,,Duhun
741,Kalikot,Raskot Municipality,Raskot,Raskot
742,Kalikot,Palata Rural Municipality,Palata,Palata
743,Baitadi,Shivanath Rural Municipality,Shivanath,Shivanath
744,Gulmi,Madane Rural Municipality,Madane,Madane
745,Dhanusha,Dhanauji Rural Municipality,Dhanauji,Dhanauji
746,Gulmi,Chhatrakot Rural Municipality,,Chhatrakot
747,Sindhuli,Marin Rural Municipality,Marin,Marin
748,Dhanusha,Janaknandini Rural Municipality,,Janaknandini
749,Bajura,Swamikartik Khaapar Rural Municipality,,Swamikartik Khaapar
750,Siraha,Naraha Rural Municipality,Naraha,Naraha
751,Siraha,Naraha Rural Municipality,Naraharinath,Naraha
752,Jumla,Sinja Rural Municipality,Sinja,Sinja
753,Panchthar,Phalgunanda Rural Municipality,,Phalgunanda
754,Bajhang,Surma Rural Municipality,Surma,Surma
755,Dadeldhura,Bhageshwor Rural Municipality,,Bhageshwor
756,Lamjung,Dudhpokhari Rural Municipality,Dudhpokhari,Dudhpokhari
757,Dhanusha,Mithilabihari Municipality,,Mithilabihari
758,Shyanja,Phedikhola Rural Municipality,Phedikhola,Phedikhola
759,Parsa,Pakahamainpur Rural Municipality,Pakahamainpur,Pakahamainpur
760,Mustang,Lomanthang Rural Municipality,Lomanthang,Lomanthang
761,Tanahu,Bandipur Rural Municipality,Bandipur,Bandipur
762,Sarlahi,Parsa Rural Municipality,Parsa,Parsa
763,Sarlahi,Parsa Rural Municipality,Parsa Wildlife Reserve,Parsa
764,Sarlahi,Parsa Rural Municipality,Parsa Wildlife Reserve,Parsa
765,Sarlahi,Parsa Rural Municipality,Parsagadhi,Parsa
766,Rupandehi,Sainamaina Municipality,Sainamaina,Sainamaina
767,Salyan,Darma Rural Municipality,Darma,Darma
768,Gulmi,Ishma Rural Municipality,,Ishma
769,Surkhet,Simta Rural Municipality,Simta,Simta
770,Kailali,Ghodaghodi Municipality,Ghodaghodi,Ghodaghodi
771,Dolpa,Shephoksundo Rural Municipality,,Shephoksundo
772,Tanahu,Shuklagandaki Municipality,Shuklagandaki,Shuklagandaki
773,Dailekh,Mahabu Rural Municipality,Mahabu,Mahabu
774,Palpa,Nisdi Rural Municipality,Nisdi,Nisdi
775,Kaski,Rupa Rural Municipality,Rupakot Majhuwagadhi,Rupa
776,Kaski,Rupa Rural Municipality,Rupani,Rupa
777,Kaski,Rupa Rural Municipality,Rupa,Rupa
778,Kalikot,Tilagufa Municipality,Tilagufa,Tilagufa
779,Dailekh,Naumule Rural Municipality,Naumule,Naumule
780,Surkhet,Panchapuri Municipality,,Panchapuri
781,Salyan,Siddha Kumakh Rural Municipality,,Siddha Kumakh
782,Kanchanpur,Krishnapur Municipality,Krishnapur,Krishnapur
783,Panchthar,Tumwewa Rural Municipality,,Tumwewa
784,Kalikot,Pachaljharana Rural Municipality,Pachaljharana,Pachaljharana
785,Baitadi,Purchaudi Municipality,Purchaudi,Purchaudi
786,Jumla,Hima Rural Municipality,Hima,Hima
787,Jumla,Hima Rural Municipality,Himali,Hima
788,Mustang,Lo-Ghekar Damodarkunda Rural Municipality,,Lo-Ghekar Damodarkunda
789,Doti,Purbichauki Rural Municipality,Purbichauki,Purbichauki
790,Parsa,Kalikamai Rural Municipality,Kalikamai,Kalikamai
791,Jajarkot,Shibalaya Rural Municipality,,Shibalaya
792,Kavrepalanchowk,Temal Rural Municipality,Temal,Temal
793,Jhapa,Mechinagar,Mechinagar,Mechinagar
794,Manang,Chame Rural Municipality,Chame,Chame
795,Dhading,Siddhalek Rural Municipality,Siddhalek,Siddhalek
796,Baitadi,Sigas Rural Municipality,Sigas,Sigas
797,Baitadi,Pancheshwor Rural Municipality,,Pancheshwor
798,Kalikot,Narharinath Rural Municipality,,Narharinath
799,Dolakha,Shailung Rural Municipality,,Shailung
800,Saptari,Rajbiraj,Rajbiraj,Rajbiraj
801,Bajura,Gaumul Rural Municipality,Gaumul,Gaumul
802,Darchula,Apihimal Rural Municipality,Apihimal,Apihimal
803,Sarlahi,Haripurwa Municipality,Haripurwa,Haripurwa
804,Darchula,Marma Rural Municipality,Marma,Marma
805,Jumla,Tila Rural Municipality,Tilathi Koiladi,Tila
806,Jumla,Tila Rural Municipality,Tila,Tila
807,Jumla,Tila Rural Municipality,Tilagufa,Tila
808,Nuwakot,Tarakeshwor Rural Municipality,Tarakeshwor,Tarakeshwor
809,Dailekh,Bhagawatimai Rural Municipality,Bhagawatimai,Bhagawatimai
810,Jumla,Guthichaur Rural Municipality,Guthichaur,Guthichaur
811,Bardiya,Bansgadhi,,Bansgadhi
812,Manang,Narpa Bhumi Rural Municipality,,Narpa Bhumi
813,Doti,Shikhar Municipality,Shikhar,Shikhar
814,Kailali,Chure Rural Municipality,Chure,Chure
815,Shankhuwasabha,Chepuwa,,Chepuwa
816,,,Falgunanda,nan
817,,,Shadananda,nan
818,,,Sakhuwanankarkatti,nan
819,,,Janaknandani,nan
820,,,Ratnanagar,nan
821,,,Krishnanagar,nan
822,,,Budhinanda,nan
