,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
44,Sarlahi,Basbariya Rural Municipality,Basbariya,Basbariya
45,Dhanusha,Dhanushadham Municipality,,Dhanushadham
46,Siraha,Sukhipur Municipality,Sukhipur,Sukhipur
47,Saptari,Krishnasawaran Rural Municipality,,Krishnasawaran
48,Saptari,Rupani Rural Municipality,Rupani,Rupani
49,Khotang,Diktel Rupakot Majhuwagadhi Municipality,,Diktel Rupakot Majhuwagadhi
50,Jumla,Chandannath Municipality,Chandannath,Chandannath
51,Bardiya,Thakurbaba Municipality,Thakurbaba,Thakurbaba
52,Nawalparasi (Bardghat Susta East),Madhyabindu Municipality,Madhyabindu,Madhyabindu
53,Nawalparasi (Bardghat Susta East),Gaidakot Municipality,Gaidakot,Gaidakot
54,Chitawan,Bharatpur Metropolitan City,,Bharatpur Metropolitan City
55,Bara,Jeetpursimara Submetropolitan City,,Jeetpursimara
56,Rautahat,Paroha Municipality,Paroha,Paroha
57,Saptari,Tilathikoiladi Rural Municipality,,Tilathikoiladi
58,Saptari,Kanchanrup Municipality,Kanchanrup,Kanchanrup
59,Saptari,Bodebarsain Municipality,,Bodebarsain
60,Taplejung,Sirijangha Rural Municipality,Sirijangha,Sirijangha
61,Myagdi,Dhawalagiri Rural Municipality,,Dhawalagiri
62,Rautahat,Chandrapur Municipality,Chandrapur,Chandrapur
63,Dhanusha,Ganeshmancharnath Municipality,,Ganeshmancharnath
64,Siraha,Lahan Municipality,Lahan,Lahan
65,Saptari,Surunga Municipality,Surunga,Surunga
66,Saptari,Tirahut Rural Municipality,Tirahut,Tirahut
67,Saptari,Saptakoshi Municipality,Saptakoshi,Saptakoshi
68,Sunsari,Duhabi Municipality,Duhabi,Duhabi
69,Shankhuwasabha,Chainpur Municipality,Chainpur,Chainpur
70,Baglung,Badigad Rural Municipality,Badigad,Badigad
71,Myagdi,Raghuganga Rural Municipality,Raghuganga,Raghuganga
72,Tanahu,Vyas Municipality,,Vyas
73,Makawanpur,Others,,Others
74,Rautahat,Gujara Municipality,Gujara,Gujara
75,Mahottari,Jaleshwor Municipality,,Jaleshwor
76,Siraha,Dhangadhimai Municipality,Dhangadhimai,Dhangadhimai
77,Siraha,Bishnupur Rural Municipality,Bishnupur,Bishnupur
78,Siraha,Bishnupur Rural Municipality,Bishnupur,Bishnupur
79,Siraha,Kalyanpur Municipality,Kalyanpur,Kalyanpur
80,Sunsari,Itahari Submetropolitan City,Itahari,Itahari
81,Sunsari,Barahkshetra Municipality,,Barahkshetra
82,Udayapur,Triyuga Municipality,Triyuga,Triyuga
83,Udayapur,Katari Municipality,Katari,Katari
84,Dolpa,Mudkechula Rural Municipality,Mudkechula,Mudkechula
85,Bardiya,Rajapur Municipality,Rajapur,Rajapur
86,Banke,Duduwa Rural Municipality,Duduwa,Duduwa
87,Banke,Nepalgunj Submetropolitan City,Nepalgunj,Nepalgunj
88,Kapilbastu,Mayadevi Rural Municipality,Mayadevi,Mayadevi
89,Kapilbastu,Mayadevi Rural Municipality,Mayadevi,Mayadevi
90,Parsa,Parsagadhi Municipality,Parsagadhi,Parsagadhi
91,Bara,Bishrampur Rural Municipality,Bishrampur,Bishrampur
92,Rautahat,Gaur Municipality,Gauradhaha,Gaur
93,Rautahat,Gaur Municipality,Gauriganj,Gaur
94,Rautahat,Gaur Municipality,Gaurishankar,Gaur
95,Rautahat,Gaur Municipality,Gaur,Gaur
96,Rautahat,Gaur Municipality,Gauriganga,Gaur
97,Rautahat,Gadhimai Municipality,Gadhimai,Gadhimai
98,Mahottari,Mahottari Rural Municipality,Mahottari,Mahottari
99,Mahottari,Bardibas Municipality,Bardibas,Bardibas
100,Saptari,Dakneshwori Municipality,Dakneshwori,Dakneshwori
101,Morang,Budhiganga Rural Municipality,Budhiganga,Budhiganga
102,Morang,Budhiganga Rural Municipality,Budhiganga,Budhiganga
103,Khotang,Barahapokhari Rural Municipality,Barahapokhari,Barahapokhari
104,Kapilbastu,Shivraj Municipality,,Shivraj
105,Kapilbastu,Bijaynagar Rural Municipality,,Bijaynagar
106,Rupandehi,Devdaha Municipality,Devdaha,Devdaha
107,Tanahu,Bhimad Municipality,Bhimad,Bhimad
108,Kathmandu,Kageshworimanohara Municipality,,Kageshworimanohara
109,Sindhupalchowk,Panchpokharithangpal Rural Municipality,,Panchpokharithangpal
110,Ramechhap,Umakunda Rural Municipality,Umakunda,Umakunda
111,Rautahat,Madhavnarayan Municipality,,Madhavnarayan
112,Dhanusha,Hansapur Municipality,Hansapur,Hansapur
113,Siraha,Anarma Rural Municipality,,Anarma
114,Rukum East,Puthauttarganga Rural Municipality,,Puthauttarganga
115,Mustang,Gharpajhong Rural Municipality,,Gharpajhong
116,Kathmandu,Nagarjun Municipality,Nagarjun,Nagarjun
117,Makawanpur,Manahari Rural Municipality,Manahari,Manahari
118,Kavrepalanchowk,Banepa Municipality,Banepa,Banepa
119,Rautahat,Baudhimai Municipality,Baudhimai,Baudhimai
120,Rautahat,Katahariya Municipality,Katahariya,Katahariya
121,Mahottari,Gaushala Municipality,Gaushala,Gaushala
122,Dhanusha,Aurahi Rural Municipality,Aurahi,Aurahi
123,Dhanusha,Aurahi Rural Municipality,Aurahi,Aurahi
124,Siraha,Laxmipurpatari Rural Municipality,,Laxmipurpatari
125,Siraha,Nawarajpur Rural Municipality,Nawarajpur,Nawarajpur
126,Bhojpur,Temkemaiyun Rural Municipality,,Temkemaiyun
127,Bhojpur,Pauwadungma Rural Municipality,Pauwadungma,Pauwadungma
128,Terhathum,Phedap Rural Municipality,Phedap,Phedap
129,Tanahu,Ghiring Rural Municipality,Ghiring,Ghiring
130,Parsa,Birgunj Metropolitan City,,Birgunj Metropolitan City
131,Bara,Kalaiya Submetropolitan City,Kalaiya,Kalaiya
132,Dhanusha,Mukhiyapattimusaharmiya Rural Municipality,,Mukhiyapattimusaharmiya
133,Dhanusha,Laxminiya Rural Municipality,,Laxminiya
134,Siraha,Siraha Municipality,Siraha,Siraha
135,Saptari,Rajgadh Rural Municipality,,Rajgadh
136,Morang,Belbari Municipality,Belbari,Belbari
137,Solukhumbu,Thulung Dudhkoshi Rural Municipality,,Thulung Dudhkoshi
138,Khotang,Jantedhunga Rural Municipality,Jantedhunga,Jantedhunga
139,Makawanpur,Bagmati Rural Municipality,Bagmati,Bagmati
140,Makawanpur,Bagmati Rural Municipality,Bagmati,Bagmati
141,Makawanpur,Bagmati Rural Municipality,Bagmati,Bagmati
142,Kailali,Tikapur Municipality,Tikapur,Tikapur
143,Rolpa,Pariwartan Rural Municipality,,Pariwartan
144,Arghakhanchi,Shitaganga Municipality,,Shitaganga
145,Kapilbastu,Shuddhodhan Rural Municipality,,Shuddhodhan
146,Bhaktapur,Madhyapurthimi Municipality,,Madhyapurthimi
147,Saptari,Shambhunath Municipality,Shambhunath,Shambhunath
148,Udayapur,Rautamai Rural Municipality,Rautamai,Rautamai
149,Ilam,Suryodaya Municipality,Suryodaya,Suryodaya
150,Rautahat,Garuda Municipality,Garuda,Garuda
151,Sarlahi,Barhathwa Municipality,,Barhathwa
152,Sunsari,Koshi Rural Municipality,Koshi,Koshi
153,Sunsari,Koshi Rural Municipality,Koshi Tappu Wildlife Reserve,Koshi
154,Sunsari,Koshi Rural Municipality,Koshi Tappu Wildlife Reserve,Koshi
